Sellsy,Solution française de gestion pour TPE/PME,"Sellsy est une plateforme française tout-en-un qui propose des outils de CRM, de facturation, de comptabilité et de gestion des stocks. Elle aide les entreprises à centraliser leurs processus commerciaux, à améliorer la relation client et à optimiser la gestion financière.",https://www.sellsy.fr,https://x5h8w2v3.rocketcdn.me/wp-content/uploads/2021/01/Logo-Sellsy-1.png
Notion,Outil de productivité tout-en-un,"Notion est une application de productivité qui combine des fonctionnalités de prise de notes, de gestion de projet, de base de données et de calendrier. Elle permet aux équipes de collaborer efficacement en centralisant les informations et en personnalisant les espaces de travail selon leurs besoins.",https://www.notion.so,https://cdn.jaimelesstartups.fr/wp-content/uploads/2022/02/illustration%20%C3%A0%20propos%20de%20la%20startup%20Notion%20est%20disponible%20en%20Fran%C3%A7ais.png
Slack,Plateforme de communication collaborative,"Slack est une plateforme de messagerie dédiée aux entreprises, facilitant la communication en temps réel entre les équipes. Elle offre des canaux thématiques, des intégrations avec divers outils professionnels et des fonctionnalités de partage de fichiers, améliorant ainsi la collaboration et la productivité.",https://slack.com,https://marketplace.luccasoftware.com/wp-content/uploads/2023/01/logo_slack.png
Trello,Outil de gestion de projet visuel,"Trello est une application de gestion de projet basée sur le système de tableaux, de listes et de cartes. Elle permet aux équipes d'organiser et de prioriser les tâches de manière flexible et visuelle, facilitant ainsi la planification et le suivi des projets.",https://trello.com,https://w7.pngwing.com/pngs/19/732/png-transparent-trello-plain-logo-icon.png
Asana,Gestion de projet et suivi des tâches,"Asana est une plateforme de gestion de projet qui aide les équipes à orchestrer leur travail, des tâches quotidiennes aux initiatives stratégiques. Elle offre des fonctionnalités de planification, de suivi et de reporting, permettant une collaboration efficace et une visibilité sur l'avancement des projets.",https://asana.com,https://banner2.cleanpng.com/20180903/wbq/kisspng-logo-asana-brand-mobile-app-product-proofhub-review-remote-project-management-tool-1713944575016.webp
Mailchimp,Plateforme d'automatisation marketing,"Mailchimp est une solution complète d'automatisation du marketing, principalement axée sur l'emailing. Elle permet aux entreprises de créer des campagnes marketing, de gérer des listes de diffusion, d'analyser les performances et d'intégrer divers outils tiers pour une stratégie marketing cohérente.",https://mailchimp.com,https://play-lh.googleusercontent.com/IBV0NyRdxyNlCgyWnbeZs3rkPYfNXlPJ4-rF0ok3Biox_N-GjLtMZ7Qub5HTmVZiWjg
HubSpot,Logiciel de CRM et marketing inbound,"HubSpot est une suite logicielle offrant des outils de CRM, de marketing, de vente et de service client. Elle aide les entreprises à attirer des visiteurs, à convertir des leads et à fidéliser des clients en centralisant les données et en automatisant les processus marketing et commerciaux.",https://www.hubspot.fr,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQY8swbre0cW4JzO0g3oGOGcN_-5bUU1znzPA&s
Canva,Outil de design graphique en ligne,"Canva est une plateforme de design graphique intuitive qui permet aux utilisateurs de créer des visuels professionnels sans compétences avancées en design. Elle propose une vaste bibliothèque de modèles, d'images et d'éléments graphiques pour réaliser des présentations, des publications sur les réseaux sociaux, des affiches, etc.",https://www.canva.com,https://tpc.ucf.edu/wp-content/uploads/sites/5/2024/07/canva-logo.png
Klaxoon,Plateforme de collaboration visuelle,"Klaxoon est une solution française qui propose une suite d'outils interactifs pour faciliter la collaboration en équipe. Elle permet d'organiser des réunions, des ateliers et des sessions de brainstorming de manière engageante, favorisant ainsi la créativité et l'efficacité collective.",https://klaxoon.com,https://pic.clubic.com/v1/images/2172067/raw
EBP,Logiciels de gestion pour TPE/PME,"EBP est un éditeur français de logiciels de gestion destinés aux TPE et PME. Ses solutions couvrent des domaines tels que la comptabilité, la gestion commerciale, la paie et la facturation, aidant les entreprises à optimiser leurs processus administratifs et financiers.",https://www.ebp.com,https://www.grafe.fr/wp-content/uploads/2021/01/EBP-SaaS-250x250.png
Monday.com,Plateforme de gestion du travail,"Monday.com est une plateforme de gestion du travail qui centralise les tâches, les projets et la communication au sein d'une interface intuitive. Elle offre des fonctionnalités de suivi, de collaboration et de reporting, aidant les équipes à rester alignées et productives.",https://monday.com,https://is1-ssl.mzstatic.com/image/thumb/Purple221/v4/c1/6d/dc/c16ddc8f-2e9d-9345-793e-fe28bbdceaf3/icon.png/1200x630bb.png
Zoho CRM,Solution complète de gestion de la relation client,"Zoho CRM est un logiciel qui aide les entreprises à gérer leurs interactions avec les clients, à automatiser les processus de vente et à analyser les performances. Il offre une gamme complète de fonctionnalités pour améliorer la satisfaction client et augmenter les ventes.",https://www.zoho.com/crm,https://cloud-store.fr/wp-content/uploads/2023/09/zoho_logo_icon_169675.png
Qonto,Compte pro en ligne pour PME et indépendants,"Qonto est une néobanque française dédiée aux professionnels, offrant des services bancaires en ligne adaptés aux besoins des PME, des startups et des indépendants. Elle propose une interface intuitive, des outils de gestion financière intégrés et un service client réactif pour simplifier la gestion quotidienne des finances.",https://qonto.com,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT6ywk1lexb3mf3G0EAQ_skX_AoA2arJyuzWA&s
PayFit,Solution de gestion de la paie et des ressources humaines,"PayFit est une plateforme française qui automatise la gestion de la paie et des ressources humaines pour les entreprises. Elle permet de gérer facilement les bulletins de salaire, les congés, les absences et les déclarations sociales, tout en garantissant la conformité aux réglementations en vigueur.",https://payfit.com,https://media.licdn.com/dms/image/v2/C560BAQG8enVUlIaAwA/company-logo_200_200/company-logo_200_200/0/1630584148492/payfit_logo?e=2147483647&v=beta&t=tlg5N94TTRQxf-v0ZVlF61pP87NQzhcFHNcFtUturrE
Spendesk,Gestion des dépenses d'entreprise simplifiée,"Spendesk est une solution tout-en-un pour gérer les dépenses professionnelles, incluant les paiements, les notes de frais et les abonnements. Elle offre une visibilité en temps réel sur les dépenses, des cartes virtuelles et physiques pour les employés, et une intégration avec les logiciels de comptabilité.",https://www.spendesk.com,https://play-lh.googleusercontent.com/xBLbEvLM063kV_ZSch5jBZ8b6zYaLvU2PLsXnwU23-6QKlNZsXZHc8Euiz1m4eyfLA
Alan,Assurance santé pour entreprises et indépendants,"Alan est une compagnie d'assurance santé française 100% en ligne, offrant des couvertures simples et transparentes pour les entreprises et les indépendants. Elle propose une gestion simplifiée des remboursements, une application mobile conviviale et un service client réactif.",https://alan.com,https://adopte.co/wp-content/uploads/2023/01/logo-alan.png
